Week,Donald Trump,Jeb Bush,Marco Rubio,Ted Cruz,Ben Carson
6/14/15,25,9,1,1,1
6/21/15,15,2,1,1,1
6/28/15,32,2,1,2,1
7/5/15,21,3,1,1,1
7/12/15,33,2,1,1,1
7/19/15,37,1,1,1,1
7/26/15,23,1,1,1,1
8/2/15,42,4,5,4,8
8/9/15,39,2,2,2,5
8/16/15,39,2,1,2,3
8/23/15,48,3,1,2,3
8/30/15,32,2,1,1,6
9/6/15,27,2,1,2,6
9/13/15,46,6,5,3,10
9/20/15,30,2,3,3,7
9/27/15,25,2,2,2,5
10/4/15,20,1,2,1,8
10/11/15,23,2,1,1,6
10/18/15,21,2,1,1,6
10/25/15,23,4,6,4,12
11/1/15,18,3,3,2,15
11/8/15,29,2,4,3,14
11/15/15,24,2,2,3,7
11/22/15,25,1,2,2,5
11/29/15,24,1,2,3,3
12/6/15,63,2,2,4,3
12/13/15,41,3,5,10,4
12/20/15,43,2,2,7,2
12/27/15,25,2,2,3,2
1/3/16,30,2,3,6,2
1/10/16,34,2,4,11,2
1/17/16,41,2,4,9,3
1/24/16,63,2,5,9,3
1/31/16,51,4,16,26,5
2/7/16,50,5,14,14,5
2/14/16,55,19,10,15,4
2/21/16,100,12,21,16,6